country_name,country_code,year,"Agriculture, forestry, and fishing, value added (current US$)",Arable land (hectares per person),Average precipitation in depth (mm per year),Cereal production (metric tons),Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),Employment in agriculture (% of total employment) (modeled ILO estimate),Fertilizer consumption (kilograms per hectare of arable land)
Burundi,BDI,1961-01-01,180359873.01587296,0.238085244393622,1274.0,130000.0,946.2,49.34,92.0979800556346,0.5771537505890443
Burundi,BDI,1962-01-01,180359873.01587296,0.240719986602213,1274.0,129150.0,1010.6,49.17,92.0979800556346,0.5161778481312842
Burundi,BDI,1963-01-01,180359873.01587296,0.243784094838747,1274.0,130080.0,919.6,48.980000000000004,92.0979800556346,0.5771537505890443
Burundi,BDI,1964-01-01,180359873.01587296,0.243483383240882,1274.0,148680.0,991.9,54.31,92.0979800556346,0.1298528390667446
Burundi,BDI,1965-01-01,180359873.01587296,0.240659559994104,1274.0,148278.0,983.6,53.79,92.0979800556346,0.1298528390667446
Burundi,BDI,1966-01-01,180359873.01587296,0.23399917960447,1274.0,152037.0,975.8,54.04,92.0979800556346,0.13280212483399723
Burundi,BDI,1967-01-01,180359873.01587296,0.23873796085061,1274.0,154700.0,997.3,56.55,92.0979800556346,0.126903553299492
Burundi,BDI,1968-01-01,204035428.57142848,0.236659293743586,1274.0,164900.0,1045.7,57.66,92.0979800556346,0.125
Burundi,BDI,1969-01-01,161162856.989165,0.287154191959104,1274.0,162233.0,1066.6,56.66,92.0979800556346,0.256048387096774
Burundi,BDI,1970-01-01,158580571.27089703,0.266256367492703,1274.0,168887.0,1092.3,58.08,92.0979800556346,0.5904255319148941
Burundi,BDI,1971-01-01,163745142.707433,0.256822167098067,1274.0,171722.0,1110.7,59.76,92.0979800556346,0.8482238966630788
Burundi,BDI,1972-01-01,149990857.14285696,0.247710338146729,1274.0,155486.0,1024.8,53.64,92.0979800556346,0.8995535714285712
Burundi,BDI,1973-01-01,192688425.54539096,0.257475724607287,1274.0,175827.0,1110.0,60.47,92.0979800556346,0.6247311827956992
Burundi,BDI,1974-01-01,210728888.888889,0.251107709006667,1274.0,143009.0,973.3,56.58,92.0979800556346,1.0215053763440904
Burundi,BDI,1975-01-01,258080000.0,0.244955239039438,1274.0,179475.0,1104.7,60.75,92.0979800556346,0.8032258064516133
Burundi,BDI,1976-01-01,266695652.173913,0.240816395913487,1274.0,181600.0,1104.8,61.94,92.0979800556346,0.5679144385026742
Burundi,BDI,1977-01-01,304321111.111111,0.236470593551231,1274.0,185500.0,1110.1,63.41,92.0979800556346,0.805732484076433
Burundi,BDI,1978-01-01,329302222.222222,0.228029981918564,1274.0,202042.0,1234.2,60.77,92.0979800556346,1.1871657754010698
Burundi,BDI,1979-01-01,421235555.555556,0.221242622272233,1274.0,213400.0,1100.0,61.34,92.0979800556346,0.967741935483871
Burundi,BDI,1980-01-01,529504444.444444,0.212149263659561,1274.0,216600.0,1063.5,59.88,88.51749861973221,1.1827956989247297
Burundi,BDI,1981-01-01,563428888.888889,0.203678744743227,1274.0,227000.0,1080.4,67.32,88.51749861973221,1.1827956989247297
Burundi,BDI,1982-01-01,533083333.333333,0.198658945313251,1274.0,221000.0,1075.4,63.22,88.51749861973221,1.3978494623655902
Burundi,BDI,1983-01-01,579172673.480366,0.193406381329172,1274.0,227000.0,1094.0,63.97,88.51749861973221,2.9752688172043
Burundi,BDI,1984-01-01,539571464.372233,0.188776333537334,1274.0,224000.0,1108.9,63.04,88.51749861973221,1.94516129032258
Burundi,BDI,1985-01-01,643436075.896926,0.184742201197368,1274.0,256000.0,1152.5,72.21,88.6344843628922,2.50645161290323
Burundi,BDI,1986-01-01,631141280.546553,0.181307260439497,1274.0,266000.0,1213.5,75.37,88.6344843628922,3.33333333333333
Burundi,BDI,1987-01-01,572028164.454516,0.177217558563257,1274.0,279300.0,1228.2,78.12,92.0409945739357,2.79569892473118
Burundi,BDI,1988-01-01,521887531.607251,0.173335194667538,1274.0,291700.0,1194.3,79.49,91.93233096490175,2.79569892473118
Burundi,BDI,1989-01-01,524904359.444623,0.169965272256952,1274.0,295900.0,1369.0,75.03,92.1973011863448,5.05376344086022
