Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Djibouti,DJI,2022,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,33.98
Djibouti,DJI,2021,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,33.98
Djibouti,DJI,2020,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,36.87
Djibouti,DJI,2019,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,31.015
Djibouti,DJI,2018,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,23.22
Djibouti,DJI,2017,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,24.38
Djibouti,DJI,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,21.47
Djibouti,DJI,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,18.59
Djibouti,DJI,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,19.05
Djibouti,DJI,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,17.7
Djibouti,DJI,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,17.87
Djibouti,DJI,2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,16.07
Djibouti,DJI,2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,15.35
Djibouti,DJI,2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,13.4538461538462
Djibouti,DJI,2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,14
Djibouti,DJI,2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,13.4133333333333
Djibouti,DJI,2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,12.3
Djibouti,DJI,2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,11.51
Djibouti,DJI,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,11.01
Djibouti,DJI,2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,11.16
Djibouti,DJI,2002,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,12.7
Djibouti,DJI,1987,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,100
Djibouti,DJI,1986,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,100
Djibouti,DJI,1981,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,22
Djibouti,DJI,1980,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1200
Djibouti,DJI,1979,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1844
Djibouti,DJI,1978,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1500
Djibouti,DJI,1977,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1300
Djibouti,DJI,1976,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1300
Djibouti,DJI,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,17039
Djibouti,DJI,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,17039
Djibouti,DJI,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,17029
Djibouti,DJI,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,17028
Djibouti,DJI,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,17028
Djibouti,DJI,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,17028
Djibouti,DJI,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,17028
Djibouti,DJI,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,17028
Djibouti,DJI,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,17028
Djibouti,DJI,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,17028
Djibouti,DJI,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,17028
Djibouti,DJI,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,17023
Djibouti,DJI,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,17020
Djibouti,DJI,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,17019
Djibouti,DJI,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,17022
Djibouti,DJI,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,17020
Djibouti,DJI,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,17017
Djibouti,DJI,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,17017
Djibouti,DJI,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,17017
Djibouti,DJI,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,17016
Djibouti,DJI,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,16816
Djibouti,DJI,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,16016
