Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Kenya,KEN,1967,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,5550
Kenya,KEN,1966,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,5112
Kenya,KEN,1965,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,4004
Kenya,KEN,1964,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,3210.83333333333
Kenya,KEN,1963,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2670.33333333333
Kenya,KEN,1962,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2016.66666666667
Kenya,KEN,1961,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1850
Kenya,KEN,2022,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,35.0559414144847
Kenya,KEN,2021,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,54.5703734706464
Kenya,KEN,2020,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,59.8525038826115
Kenya,KEN,2019,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,50.0995098292956
Kenya,KEN,2018,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,42.4336712205877
Kenya,KEN,2017,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,59.5457833955646
Kenya,KEN,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,43.2307002942593
Kenya,KEN,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,35.4637302133777
Kenya,KEN,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,43.3215355384869
Kenya,KEN,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,50.9645591764104
Kenya,KEN,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,43.6347670045924
Kenya,KEN,2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,37.8020747904973
Kenya,KEN,2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,32.4772603282107
Kenya,KEN,2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,34.0430527272727
Kenya,KEN,2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,33.2875471698113
Kenya,KEN,2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,36.3952830188679
Kenya,KEN,2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,33.154802259887
Kenya,KEN,2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,34.3265577507599
Kenya,KEN,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,27.6808672499049
Kenya,KEN,2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,33.0967741935484
Kenya,KEN,2002,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,27.313101551758
Kenya,KEN,2001,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,29.2492199687988
Kenya,KEN,2000,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,29.7904314046207
Kenya,KEN,1999,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,29.0620094191523
Kenya,KEN,1998,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,27.1697306541257
Kenya,KEN,1997,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,27.9185708350644
Kenya,KEN,1996,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,34.4251766217084
Kenya,KEN,1995,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,14.4170650974623
Kenya,KEN,1994,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,23.8077769625825
Kenya,KEN,1993,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,19.7628458498024
Kenya,KEN,1992,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,19.2554799697657
Kenya,KEN,1991,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,22.1110457131646
Kenya,KEN,1990,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,21.3827655310621
Kenya,KEN,1989,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,20.1213730324294
Kenya,KEN,1988,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,24.8054076198279
Kenya,KEN,1987,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,23.7084854994629
Kenya,KEN,1986,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,21.4239059438276
Kenya,KEN,1985,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,22.4311324879755
Kenya,KEN,1984,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,21.9481879194631
Kenya,KEN,1983,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,19.7631578947368
Kenya,KEN,1982,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,16.5
Kenya,KEN,1981,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,21.7894736842105
Kenya,KEN,1980,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,16.2105263157895
Kenya,KEN,1979,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,10.0789473684211
Kenya,KEN,1978,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,13.4215789473684
Kenya,KEN,1977,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,13.5584210526316
Kenya,KEN,1976,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,14.1831578947368
Kenya,KEN,1975,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,11.7089473684211
Kenya,KEN,1974,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,15.0857142857143
Kenya,KEN,1973,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,14.5605714285714
Kenya,KEN,1972,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,15.1968571428571
Kenya,KEN,1971,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,13.4857142857143
Kenya,KEN,1970,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,14.1428571428571
