Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Madagascar,MDG,2022,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.87724
Madagascar,MDG,2021,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.52577
Madagascar,MDG,2020,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,10.58036
Madagascar,MDG,2019,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,11.94542
Madagascar,MDG,2018,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,12.6009066666667
Madagascar,MDG,2017,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,12.9951866666667
Madagascar,MDG,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.98892333333333
Madagascar,MDG,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,7.53102333333333
Madagascar,MDG,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,8.73447666666667
Madagascar,MDG,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.79991666666667
Madagascar,MDG,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,7.03834
Madagascar,MDG,2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.20367333333333
Madagascar,MDG,2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.97728666666667
Madagascar,MDG,2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.60522333333333
Madagascar,MDG,2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.27350666666667
Madagascar,MDG,2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.21095666666667
Madagascar,MDG,2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.52645
Madagascar,MDG,2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.56737333333333
Madagascar,MDG,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.2635220338983
Madagascar,MDG,2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.35962033898305
Madagascar,MDG,2002,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.10333559322034
Madagascar,MDG,2001,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.06813559322034
Madagascar,MDG,2000,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.14172413793103
Madagascar,MDG,1999,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.7151724137931
Madagascar,MDG,1998,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.99206896551724
Madagascar,MDG,1997,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.27586206896552
Madagascar,MDG,1996,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.74793103448276
Madagascar,MDG,1995,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.32620689655172
Madagascar,MDG,1994,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.8848275862069
Madagascar,MDG,1993,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.82172413793103
Madagascar,MDG,1992,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.76870503597122
Madagascar,MDG,1991,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.44436363636364
Madagascar,MDG,1990,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.99080882352941
Madagascar,MDG,1989,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.29483394833948
Madagascar,MDG,1988,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.97111111111111
Madagascar,MDG,1987,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.34029850746269
Madagascar,MDG,1986,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.06217228464419
Madagascar,MDG,1985,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.66037735849057
Madagascar,MDG,1984,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.51908396946565
Madagascar,MDG,1983,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.38461538461539
Madagascar,MDG,1982,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.07003891050584
Madagascar,MDG,1981,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.734375
Madagascar,MDG,1980,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.46456692913386
Madagascar,MDG,1979,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.93650793650794
Madagascar,MDG,1978,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.3132
Madagascar,MDG,1977,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.19525173966435
Madagascar,MDG,1976,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.85321100917431
Madagascar,MDG,1975,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.59015679442509
Madagascar,MDG,1974,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.07627118644068
Madagascar,MDG,1973,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.23809523809524
Madagascar,MDG,1972,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.47320574162679
Madagascar,MDG,1971,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.11884057971015
Madagascar,MDG,1970,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.99029126213592
Madagascar,MDG,1969,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.29268292682927
Madagascar,MDG,1968,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.29113300492611
Madagascar,MDG,1967,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.82133995037221
Madagascar,MDG,1966,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.125
Madagascar,MDG,1965,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.72090680100756
Madagascar,MDG,1964,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.18020304568528
Madagascar,MDG,1963,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.98005115089514
Madagascar,MDG,1962,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.889690721649484
Madagascar,MDG,1961,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.772987012987013
Madagascar,MDG,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,408950
Madagascar,MDG,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,408950
Madagascar,MDG,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,408950
Madagascar,MDG,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,408950
Madagascar,MDG,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,408950
Madagascar,MDG,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,408950
Madagascar,MDG,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,408950
Madagascar,MDG,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,408950
Madagascar,MDG,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,408950
Madagascar,MDG,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,408950
Madagascar,MDG,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,408950
Madagascar,MDG,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,408950
Madagascar,MDG,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,408950
Madagascar,MDG,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,408950
Madagascar,MDG,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,408930
Madagascar,MDG,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,408930
Madagascar,MDG,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,408930
Madagascar,MDG,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,408430
Madagascar,MDG,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,408430
Madagascar,MDG,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,408430
Madagascar,MDG,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,408430
Madagascar,MDG,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,405000
Madagascar,MDG,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,395000
Madagascar,MDG,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,384900
Madagascar,MDG,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,374900
Madagascar,MDG,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,365960
Madagascar,MDG,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,364800
Madagascar,MDG,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,364800
Madagascar,MDG,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,364900
Madagascar,MDG,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,363700
Madagascar,MDG,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,363500
Madagascar,MDG,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,363250
Madagascar,MDG,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,362950
Madagascar,MDG,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,362700
Madagascar,MDG,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,362400
Madagascar,MDG,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,362200
Madagascar,MDG,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,361950
Madagascar,MDG,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,361600
Madagascar,MDG,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,361350
Madagascar,MDG,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,361000
Madagascar,MDG,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,360750
Madagascar,MDG,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,360400
Madagascar,MDG,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,360200
Madagascar,MDG,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,360000
Madagascar,MDG,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,359290
Madagascar,MDG,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,357640
Madagascar,MDG,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,357590
Madagascar,MDG,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,354750
Madagascar,MDG,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,354400
Madagascar,MDG,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,354200
Madagascar,MDG,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,353900
Madagascar,MDG,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,353700
Madagascar,MDG,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,353500
Madagascar,MDG,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,353200
Madagascar,MDG,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,352950
Madagascar,MDG,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,352700
Madagascar,MDG,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,352450
Madagascar,MDG,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,352200
Madagascar,MDG,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,351950
Madagascar,MDG,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,351700
Madagascar,MDG,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,351450
Madagascar,MDG,2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2904778274321
Madagascar,MDG,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2904778274321
Madagascar,MDG,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2904778274321
Madagascar,MDG,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2904778274321
Madagascar,MDG,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2904778274321
Madagascar,MDG,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2904778274321
Madagascar,MDG,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2904778274321
