Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
South Sudan,SSD,2022,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.000555393159894768
South Sudan,SSD,2021,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.103645550590888
South Sudan,SSD,2020,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.0756963293940786
South Sudan,SSD,2019,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.089551927172506
South Sudan,SSD,2018,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.101719030333375
South Sudan,SSD,2017,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.0265110293745124
South Sudan,SSD,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.0343048375415199
South Sudan,SSD,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.0245089347282148
South Sudan,SSD,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.0067530374591648
South Sudan,SSD,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.00366912867748932
South Sudan,SSD,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.000188060950554075
South Sudan,SSD,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,282527
South Sudan,SSD,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,282507
South Sudan,SSD,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,282509
South Sudan,SSD,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,282509
South Sudan,SSD,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,283214.75
South Sudan,SSD,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,283567.625
South Sudan,SSD,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,283920.5
South Sudan,SSD,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,284273.375
South Sudan,SSD,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,284626.25
South Sudan,SSD,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,284979.125
South Sudan,SSD,2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.7085911414239
South Sudan,SSD,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.7085911414239
South Sudan,SSD,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.7054262339183
South Sudan,SSD,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.7057427246689
South Sudan,SSD,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.7057427246689
South Sudan,SSD,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.817424398272
South Sudan,SSD,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.8732652350735
South Sudan,SSD,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.929106071875
South Sudan,SSD,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.9849469086766
South Sudan,SSD,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.0407877454781
South Sudan,SSD,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.0966285822797
South Sudan,SSD,2021,Arable land (hectares),AG.LND.ARBL.HA,2394700
South Sudan,SSD,2020,Arable land (hectares),AG.LND.ARBL.HA,2394700
South Sudan,SSD,2019,Arable land (hectares),AG.LND.ARBL.HA,2394700
South Sudan,SSD,2018,Arable land (hectares),AG.LND.ARBL.HA,2396700
South Sudan,SSD,2017,Arable land (hectares),AG.LND.ARBL.HA,2467275
South Sudan,SSD,2016,Arable land (hectares),AG.LND.ARBL.HA,2502562.5
South Sudan,SSD,2015,Arable land (hectares),AG.LND.ARBL.HA,2537850
South Sudan,SSD,2014,Arable land (hectares),AG.LND.ARBL.HA,2575137.5
South Sudan,SSD,2013,Arable land (hectares),AG.LND.ARBL.HA,2616425
South Sudan,SSD,2012,Arable land (hectares),AG.LND.ARBL.HA,2658712.5
South Sudan,SSD,2021,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.22038914831701
South Sudan,SSD,2020,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.22383580750401
South Sudan,SSD,2019,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.229743046979752
South Sudan,SSD,2018,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.236758416027222
South Sudan,SSD,2017,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.240494976486365
South Sudan,SSD,2016,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.231074693479341
South Sudan,SSD,2015,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.22847950148552
South Sudan,SSD,2014,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.229205230798233
South Sudan,SSD,2013,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.234314934926822
South Sudan,SSD,2012,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.247178614460072
