Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Sudan,SDN,2022,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,7.10201554286672
Sudan,SDN,2021,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,7.10307199292779
Sudan,SDN,2020,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,13.847366781552
Sudan,SDN,2019,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.46987402618929
Sudan,SDN,2018,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,7.10307199292779
Sudan,SDN,2017,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,8.33866539841623
Sudan,SDN,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,9.38239636987982
Sudan,SDN,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.47432480348684
Sudan,SDN,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.20062593451296
Sudan,SDN,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.61245839205321
Sudan,SDN,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.32788732905066
Sudan,SDN,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,1126648.4
Sudan,SDN,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,1126648.4
Sudan,SDN,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,1126646.4
Sudan,SDN,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,1126646.4
Sudan,SDN,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,1123597.2
Sudan,SDN,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,1120548
Sudan,SDN,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,1117498.8
Sudan,SDN,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,1114449.6
Sudan,SDN,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,1114533.6
Sudan,SDN,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,1114659.6
Sudan,SDN,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,1372462
Sudan,SDN,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,1372462
Sudan,SDN,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,1372658
Sudan,SDN,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,1366980
Sudan,SDN,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,1366150
Sudan,SDN,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,1360530
Sudan,SDN,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,1352200
Sudan,SDN,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,1344970
Sudan,SDN,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,1345300
Sudan,SDN,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,1326140
Sudan,SDN,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,1320930
Sudan,SDN,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,1315750
Sudan,SDN,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,1313520
Sudan,SDN,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,1311020
Sudan,SDN,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,1308320
Sudan,SDN,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,1305390
Sudan,SDN,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,1296440
Sudan,SDN,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,1281150
Sudan,SDN,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,1267330
Sudan,SDN,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,1240150
Sudan,SDN,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,1229650
Sudan,SDN,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,1229100
Sudan,SDN,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,1228600
Sudan,SDN,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,1208450
Sudan,SDN,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,1178050
