Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Tanzania,TZA,1991,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,868.817768450507
Tanzania,TZA,1990,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,954.128440366972
Tanzania,TZA,1989,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,615.277777777778
Tanzania,TZA,1988,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2878.47658979734
Tanzania,TZA,1987,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,998.351419031719
Tanzania,TZA,1986,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,340.485732606605
Tanzania,TZA,1985,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,339.957300049269
Tanzania,TZA,1984,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,217.365269461078
Tanzania,TZA,1983,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,231.979335494327
Tanzania,TZA,1982,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1100.56518462698
Tanzania,TZA,1981,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,150.777202072539
Tanzania,TZA,1980,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,229.032258064516
Tanzania,TZA,1979,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,245.901639344262
Tanzania,TZA,1978,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,220.300751879699
Tanzania,TZA,1977,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,188.337343294922
Tanzania,TZA,1976,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,275.697747464776
Tanzania,TZA,1975,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,162.051450106505
Tanzania,TZA,1974,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,168.957847339012
Tanzania,TZA,1973,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,166.585895721925
Tanzania,TZA,1972,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,133.566666666667
Tanzania,TZA,2022,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,19.0844665802629
Tanzania,TZA,2021,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,9.25030920199963
Tanzania,TZA,2020,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,16.4433475282355
Tanzania,TZA,2019,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,8.98016530166428
Tanzania,TZA,2018,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,16.2665197835567
Tanzania,TZA,2017,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,12.6263491353032
Tanzania,TZA,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,13.3178376601523
Tanzania,TZA,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,9.5554039140963
Tanzania,TZA,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,9.68271964943089
Tanzania,TZA,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,12.3800313912709
Tanzania,TZA,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,8.6888551442583
Tanzania,TZA,2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,8.91877774875947
Tanzania,TZA,2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,8.72010950934679
Tanzania,TZA,2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,7.51996593407548
Tanzania,TZA,2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.67662042964232
Tanzania,TZA,2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.70970617733368
Tanzania,TZA,2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.12735890630968
Tanzania,TZA,2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.78173230303909
Tanzania,TZA,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.52340855877148
Tanzania,TZA,2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.45550351288056
Tanzania,TZA,2002,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.69976744186047
Tanzania,TZA,2001,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.923094958968347
Tanzania,TZA,2000,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.60511627906977
Tanzania,TZA,1999,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.41149425287356
Tanzania,TZA,1998,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.53650429799427
Tanzania,TZA,1997,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.48810058374495
Tanzania,TZA,1996,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.46822222222222
Tanzania,TZA,1995,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.03370786516854
Tanzania,TZA,1994,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.03370786516854
Tanzania,TZA,1993,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.07865168539326
Tanzania,TZA,1992,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.44579545454545
Tanzania,TZA,1991,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.51804953904254
Tanzania,TZA,1990,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.2
Tanzania,TZA,1989,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.92222222222222
Tanzania,TZA,1988,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.57677777777778
Tanzania,TZA,1987,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.31566666666667
Tanzania,TZA,1986,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.71988888888889
Tanzania,TZA,1985,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.6
Tanzania,TZA,1984,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.5375
Tanzania,TZA,1983,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.862625
Tanzania,TZA,1982,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.651125
Tanzania,TZA,1981,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.6375
Tanzania,TZA,1980,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.4375
Tanzania,TZA,1979,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.75
Tanzania,TZA,1978,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.6625
Tanzania,TZA,1977,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.24942857142857
Tanzania,TZA,1976,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.38871428571429
Tanzania,TZA,1975,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.23857142857143
Tanzania,TZA,1974,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.44914285714286
Tanzania,TZA,1973,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.84814285714286
Tanzania,TZA,1972,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.28971428571429
Tanzania,TZA,1971,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.48571428571429
Tanzania,TZA,1970,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.14285714285714
Tanzania,TZA,1969,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.83333333333333
Tanzania,TZA,1968,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.5
Tanzania,TZA,1967,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.45
Tanzania,TZA,1966,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.46666666666667
Tanzania,TZA,1965,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.16666666666667
Tanzania,TZA,1964,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.65
Tanzania,TZA,1963,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.508196721311475
Tanzania,TZA,1962,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.471287128712871
Tanzania,TZA,1961,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.523653846153846
Tanzania,TZA,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,395212
Tanzania,TZA,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,395212
Tanzania,TZA,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,393097
Tanzania,TZA,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,390974
Tanzania,TZA,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,388851
Tanzania,TZA,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,386728
Tanzania,TZA,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,384605
Tanzania,TZA,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,382482
Tanzania,TZA,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,380359
Tanzania,TZA,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,374975.94
Tanzania,TZA,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,376113
Tanzania,TZA,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,373990
Tanzania,TZA,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,371867
Tanzania,TZA,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,369744
Tanzania,TZA,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,364184
Tanzania,TZA,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,358713
Tanzania,TZA,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,353142
Tanzania,TZA,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,347571
Tanzania,TZA,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,342700
Tanzania,TZA,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,342000
Tanzania,TZA,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,341000
Tanzania,TZA,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,340000
Tanzania,TZA,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,339000
Tanzania,TZA,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,338000
Tanzania,TZA,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,337030
Tanzania,TZA,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,334219.9
Tanzania,TZA,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,330499.9
Tanzania,TZA,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,326779.9
Tanzania,TZA,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,323059.9
Tanzania,TZA,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,319339.9
Tanzania,TZA,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,315619.9
Tanzania,TZA,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,311899.9
Tanzania,TZA,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,320000
Tanzania,TZA,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,320000
Tanzania,TZA,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,320000
Tanzania,TZA,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,320000
Tanzania,TZA,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,320000
Tanzania,TZA,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,310000
Tanzania,TZA,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,310000
Tanzania,TZA,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,310000
Tanzania,TZA,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,310000
Tanzania,TZA,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,300000
Tanzania,TZA,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,300000
Tanzania,TZA,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,300000
Tanzania,TZA,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,290000
Tanzania,TZA,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,290000
Tanzania,TZA,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,290000
Tanzania,TZA,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,290000
Tanzania,TZA,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,290000
Tanzania,TZA,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,290000
Tanzania,TZA,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,290000
Tanzania,TZA,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,280000
Tanzania,TZA,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,270000
Tanzania,TZA,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,270000
Tanzania,TZA,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,270000
Tanzania,TZA,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,270000
Tanzania,TZA,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,270000
Tanzania,TZA,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,270000
Tanzania,TZA,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,270000
Tanzania,TZA,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,260000
Tanzania,TZA,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,260000
Tanzania,TZA,2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.6163919620682
Tanzania,TZA,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.6163919620682
Tanzania,TZA,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.6163919620682
Tanzania,TZA,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.3776247459923
Tanzania,TZA,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.1379543915105
