Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Uganda,UGA,1977,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,110
Uganda,UGA,1976,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,41.4
Uganda,UGA,1975,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,198.705882352941
Uganda,UGA,1974,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,90
Uganda,UGA,1973,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,175.292682926829
Uganda,UGA,1972,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,153.92
Uganda,UGA,1971,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,160.04742145821
Uganda,UGA,1970,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,118.64406779661
Uganda,UGA,1969,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,99.3478260869565
Uganda,UGA,1968,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,90.0190476190476
Uganda,UGA,1967,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,71.9238095238095
Uganda,UGA,1966,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,114.558887440243
Uganda,UGA,1965,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,87.28
Uganda,UGA,1964,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,102.857142857143
Uganda,UGA,1963,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,232.558139534884
Uganda,UGA,1962,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,329.268292682927
Uganda,UGA,2022,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.61498695652174
Uganda,UGA,2021,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.44235507246377
Uganda,UGA,2020,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.44235507246377
Uganda,UGA,2019,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.36627246376812
Uganda,UGA,2018,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.29568985507246
Uganda,UGA,2017,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.06208985507246
Uganda,UGA,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.91084782608696
Uganda,UGA,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.58690869565217
Uganda,UGA,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.81999565217391
Uganda,UGA,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.4417
Uganda,UGA,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.12519275362319
Uganda,UGA,2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.76175182481752
Uganda,UGA,2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.71940740740741
Uganda,UGA,2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.08272727272727
Uganda,UGA,2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.94201550387597
Uganda,UGA,2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.19952
Uganda,UGA,2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.2544262295082
Uganda,UGA,2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.967394957983193
Uganda,UGA,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.47193277310924
Uganda,UGA,2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.59504273504273
Uganda,UGA,2002,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.33267857142857
Uganda,UGA,2001,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.07407407407407
Uganda,UGA,2000,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.25264150943396
Uganda,UGA,1999,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.878235294117647
